,Modulus of elasticity - inner (GPa),Modulus of elasticity - Outer (GPa),Axial load (kN),Friction Coefficient,Total number of snaking,Global snaking length (m),Maximum snaking amplitude (m),Image file name
172,0.1,0.1,10,20.0,8,36.01,2.3025900000000004,Snaking_E1_0_E2_3_Fric_4_load_2.tif
173,0.1,0.1,12,20.0,7,41.37,2.0832200000000003,Snaking_E1_0_E2_3_Fric_4_load_3.tif
174,0.1,0.1,14,20.0,12,44.7,3.7099599999999997,Snaking_E1_0_E2_3_Fric_4_load_4.tif
175,0.1,0.1,6,25.0,7,14.32,0.670636,Snaking_E1_0_E2_3_Fric_5_load_0.tif
176,0.1,0.1,8,25.0,9,33.21,1.847,Snaking_E1_0_E2_3_Fric_5_load_1.tif
177,0.1,0.1,10,25.0,10,35.96,1.94425,Snaking_E1_0_E2_3_Fric_5_load_2.tif
178,0.1,0.1,12,25.0,10,41.81,2.6918,Snaking_E1_0_E2_3_Fric_5_load_3.tif
179,0.1,0.1,14,25.0,8,46.5,3.17519,Snaking_E1_0_E2_3_Fric_5_load_4.tif
180,0.1,0.1,6,30.0,6,12.35,0.7921739999999999,Snaking_E1_0_E2_3_Fric_6_load_0.tif
181,0.1,0.1,8,30.0,9,29.16,1.63216,Snaking_E1_0_E2_3_Fric_6_load_1.tif
182,0.1,0.1,10,30.0,10,35.42,1.94347,Snaking_E1_0_E2_3_Fric_6_load_2.tif
183,0.1,0.1,12,30.0,11,38.09,2.91121,Snaking_E1_0_E2_3_Fric_6_load_3.tif
184,0.1,0.1,14,30.0,8,45.59,3.84839,Snaking_E1_0_E2_3_Fric_6_load_4.tif
185,0.1,0.1,6,35.0,6,12.86,1.2814,Snaking_E1_0_E2_3_Fric_7_load_0.tif
186,0.1,0.1,8,35.0,9,32.13,2.29029,Snaking_E1_0_E2_3_Fric_7_load_1.tif
187,0.1,0.1,10,35.0,8,34.46,2.29402,Snaking_E1_0_E2_3_Fric_7_load_2.tif
188,0.1,0.1,12,35.0,6,42.22,5.24838,Snaking_E1_0_E2_3_Fric_7_load_3.tif
189,0.1,0.1,14,35.0,11,43.37,2.99304,Snaking_E1_0_E2_3_Fric_7_load_4.tif
190,0.1,0.1,6,40.0,6,13.33,1.2533100000000001,Snaking_E1_0_E2_3_Fric_8_load_0.tif
191,0.1,0.1,8,40.0,8,33.22,2.0345,Snaking_E1_0_E2_3_Fric_8_load_1.tif
192,0.1,0.1,10,40.0,8,35.47,2.40971,Snaking_E1_0_E2_3_Fric_8_load_2.tif
193,0.1,0.1,12,40.0,13,40.85,2.5447900000000003,Snaking_E1_0_E2_3_Fric_8_load_3.tif
194,0.1,0.1,14,40.0,9,43.9,5.63954,Snaking_E1_0_E2_3_Fric_8_load_4.tif
195,0.1,0.1,6,45.0,7,14.77,0.627533,Snaking_E1_0_E2_3_Fric_9_load_0.tif
196,0.1,0.1,8,45.0,10,29.91,1.6859400000000002,Snaking_E1_0_E2_3_Fric_9_load_1.tif
197,0.1,0.1,10,45.0,9,32.36,3.80806,Snaking_E1_0_E2_3_Fric_9_load_2.tif
198,0.1,0.1,12,45.0,9,41.32,2.4028400000000003,Snaking_E1_0_E2_3_Fric_9_load_3.tif
199,0.1,0.1,14,45.0,8,46.03,4.32605,Snaking_E1_0_E2_3_Fric_9_load_4.tif
200,0.1,0.15,6,0.01,5,9.36,0.44138599999999995,Snaking_E1_0_E2_4_Fric_0_load_0.tif
201,0.1,0.15,8,0.01,10,26.4,1.39611,Snaking_E1_0_E2_4_Fric_0_load_1.tif
202,0.1,0.15,10,0.01,9,34.28,3.23679,Snaking_E1_0_E2_4_Fric_0_load_2.tif
203,0.1,0.15,12,0.01,6,38.12,2.75739,Snaking_E1_0_E2_4_Fric_0_load_3.tif
204,0.1,0.15,14,0.01,10,47.45,2.83355,Snaking_E1_0_E2_4_Fric_0_load_4.tif
205,0.1,0.15,6,5.0,5,9.35,0.373068,Snaking_E1_0_E2_4_Fric_1_load_0.tif
206,0.1,0.15,8,5.0,10,26.4,1.39365,Snaking_E1_0_E2_4_Fric_1_load_1.tif
207,0.1,0.15,10,5.0,7,37.84,2.57575,Snaking_E1_0_E2_4_Fric_1_load_2.tif
208,0.1,0.15,12,5.0,6,42.13,2.41046,Snaking_E1_0_E2_4_Fric_1_load_3.tif
